# revolver probe 798

Trent	Hammer	Powder	Bullet
1	1	1	1
1	1	1	1
1	1	7	1
1	1	7	7
1	7	7	7
4	5	5	6
4	7	7	6
5	5	3	5
5	5	5	3
6	1	6	1
6	5	5	5
6	6	6	5
6	6	6	6
6	6	6	6
6	6	6	6
6	6	7	5
6	7	7	4
6	7	7	7
7	1	1	1
7	1	5	7
7	1	7	1
7	1	7	7
7	2	2	2
7	2	7	2
7	3	7	7
7	5	3	2
7	5	5	1
7	5	5	7
7	5	7	4
7	5	7	6
7	5	7	7
7	6	6	1
7	6	6	2
7	6	7	2
7	6	7	6
7	6	7	7
7	7	1	7
7	7	5	7
7	7	7	1
7	7	7	1
7	7	7	1
7	7	7	1
7	7	7	1
7	7	7	1
7	7	7	2
7	7	7	2
7	7	7	2
7	7	7	4
7	7	7	4
7	7	7	5
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
